date,year,month,day,day_of_week,day_of_week_num,is_weekend,is_holiday,station_id,station_name,station_lat,station_lng,fuel_type,price_per_litre,demand_litres,seasonal_factor,quarter,week_of_year,month_name
2021-01-01,2021,1,1,Friday,4,0,1,1,FuelGo Kariakoo,-6.783,39.2083,Petrol,2471.0,1216,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,1,FuelGo Kariakoo,-6.783,39.2083,Diesel,2446.0,1176,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,1,FuelGo Kariakoo,-6.783,39.2083,Kerosene,2040.0,441,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,2,FuelGo Kinondoni,-6.773,39.214,Petrol,2638.0,978,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,2,FuelGo Kinondoni,-6.773,39.214,Diesel,2510.0,832,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,2,FuelGo Kinondoni,-6.773,39.214,Kerosene,1919.0,393,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,3,FuelGo Temeke,-6.85,39.28,Petrol,2508.0,804,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,3,FuelGo Temeke,-6.85,39.28,Diesel,2351.0,642,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,3,FuelGo Temeke,-6.85,39.28,Kerosene,2105.0,286,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,4,FuelGo Ubungo,-6.77,39.23,Petrol,2818.0,736,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,4,FuelGo Ubungo,-6.77,39.23,Diesel,2495.0,515,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,4,FuelGo Ubungo,-6.77,39.23,Kerosene,2115.0,263,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,5,FuelGo Ilala,-6.81,39.26,Petrol,2633.0,793,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,5,FuelGo Ilala,-6.81,39.26,Diesel,2168.0,824,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,5,FuelGo Ilala,-6.81,39.26,Kerosene,2014.0,386,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,6,FuelGo Sinza,-6.76,39.22,Petrol,2510.0,708,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,6,FuelGo Sinza,-6.76,39.22,Diesel,2295.0,557,1.15,1,53,January
2021-01-01,2021,1,1,Friday,4,0,1,6,FuelGo Sinza,-6.76,39.22,Kerosene,2024.0,273,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,1,FuelGo Kariakoo,-6.783,39.2083,Petrol,2336.0,875,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,1,FuelGo Kariakoo,-6.783,39.2083,Diesel,2387.0,733,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,1,FuelGo Kariakoo,-6.783,39.2083,Kerosene,2171.0,317,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,2,FuelGo Kinondoni,-6.773,39.214,Petrol,2346.0,672,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,2,FuelGo Kinondoni,-6.773,39.214,Diesel,2406.0,661,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,2,FuelGo Kinondoni,-6.773,39.214,Kerosene,1991.0,310,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,3,FuelGo Temeke,-6.85,39.28,Petrol,2624.0,548,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,3,FuelGo Temeke,-6.85,39.28,Diesel,2105.0,669,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,3,FuelGo Temeke,-6.85,39.28,Kerosene,1992.0,250,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,4,FuelGo Ubungo,-6.77,39.23,Petrol,2479.0,641,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,4,FuelGo Ubungo,-6.77,39.23,Diesel,2305.0,514,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,4,FuelGo Ubungo,-6.77,39.23,Kerosene,1948.0,217,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,5,FuelGo Ilala,-6.81,39.26,Petrol,2717.0,716,1.15,1,53,January
2021-01-02,2021,1,2,Saturday,5,1,0,5,FuelGo Ilala,-6.81,39.26,Diesel,2346.0,627,1.15,1,53,January
